time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.ch0,.ch1,.ch2,.ch3,.ch4,.ch5,.ch6,.ch7
2017/07/09/10:04:36.436319,164097,1499565876,436186075,0,130,587,342,130,75,105,162,198
2017/07/09/10:04:36.451159,164098,1499565876,451029062,0,122,609,360,130,77,112,151,187
2017/07/09/10:04:36.489895,164099,1499565876,489500045,0,99,548,322,103,67,115,163,163
2017/07/09/10:04:36.496448,164100,1499565876,496169090,0,100,534,339,118,76,116,154,162
2017/07/09/10:04:36.519331,164101,1499565876,519114971,0,113,513,328,118,78,122,196,192
2017/07/09/10:04:36.533925,164102,1499565876,533725023,0,118,527,294,105,67,106,219,212
2017/07/09/10:04:36.556253,164103,1499565876,556022882,0,125,503,288,105,65,97,285,216
2017/07/09/10:04:36.571429,164104,1499565876,571192979,0,150,429,258,108,67,126,300,220
2017/07/09/10:04:36.593931,164105,1499565876,593748092,0,168,415,241,90,57,129,335,220
2017/07/09/10:04:36.616641,164106,1499565876,616359949,0,166,485,247,84,53,125,345,194
2017/07/09/10:04:36.632819,164107,1499565876,632606983,0,178,484,239,90,52,113,361,183
2017/07/09/10:04:36.653652,164108,1499565876,653443098,0,189,463,210,87,49,112,363,164
2017/07/09/10:04:36.676535,164109,1499565876,676408052,0,224,518,216,83,46,79,362,193
2017/07/09/10:04:36.691284,164110,1499565876,691087007,0,210,554,217,80,45,74,349,239
2017/07/09/10:04:36.714095,164111,1499565876,713876962,0,224,482,205,81,46,74,401,272
2017/07/09/10:04:36.744554,164112,1499565876,744247913,0,222,490,200,76,51,80,411,281
2017/07/09/10:04:36.751122,164113,1499565876,750910043,0,231,585,217,83,56,86,436,284
2017/07/09/10:04:36.773773,164114,1499565876,773567914,0,188,580,198,85,65,95,447,294
2017/07/09/10:04:36.796155,164115,1499565876,795984029,0,203,553,184,82,64,98,509,248
2017/07/09/10:04:36.811681,164116,1499565876,811248064,0,193,614,181,83,63,103,514,334
2017/07/09/10:04:36.833765,164117,1499565876,833511114,0,198,589,207,90,65,102,488,329
2017/07/09/10:04:36.856599,164118,1499565876,856178998,0,256,512,182,82,62,97,453,355
2017/07/09/10:04:36.872868,164119,1499565876,872798919,0,260,544,200,85,55,88,468,333
2017/07/09/10:04:36.893692,164120,1499565876,893510103,0,276,519,196,83,55,80,393,340
2017/07/09/10:04:36.916523,164121,1499565876,916234016,0,274,462,195,85,58,84,331,222
2017/07/09/10:04:36.932927,164122,1499565876,932616949,0,267,488,183,75,59,88,351,213
2017/07/09/10:04:36.953888,164123,1499565876,953619956,0,190,482,183,77,59,90,351,187
2017/07/09/10:04:36.976937,164124,1499565876,976567983,0,201,509,294,116,97,125,439,270
2017/07/09/10:04:36.997489,164125,1499565876,997220993,0,242,536,304,119,101,126,442,279
2017/07/09/10:04:37.013838,164126,1499565877,13605117,0,263,523,311,117,101,126,452,278
2017/07/09/10:04:37.036250,164127,1499565877,35969018,0,268,541,312,134,107,142,521,327
2017/07/09/10:04:37.053211,164128,1499565877,52966117,0,305,579,323,132,109,144,523,344
2017/07/09/10:04:37.073685,164129,1499565877,73551893,0,311,488,221,93,78,118,466,331
2017/07/09/10:04:37.097957,164130,1499565877,97804069,0,262,476,217,96,75,122,496,343
2017/07/09/10:04:37.112734,164131,1499565877,112458944,0,248,555,238,110,81,142,615,478
2017/07/09/10:04:37.135206,164132,1499565877,135106086,0,285,521,239,94,79,143,551,452
2017/07/09/10:04:37.156277,164133,1499565877,156048059,0,277,461,222,97,81,161,563,453
2017/07/09/10:04:37.172620,164134,1499565877,172449111,0,258,462,216,102,83,161,527,425
2017/07/09/10:04:37.194572,164135,1499565877,194056987,0,279,559,225,105,84,166,539,472
2017/07/09/10:04:37.216464,164136,1499565877,216197967,0,300,493,191,97,95,170,536,453
2017/07/09/10:04:37.232468,164137,1499565877,232358932,0,293,538,199,89,85,152,546,458
2017/07/09/10:04:37.253765,164138,1499565877,253642082,0,323,657,222,93,82,132,536,456
2017/07/09/10:04:37.276881,164139,1499565877,276262044,0,363,741,228,103,86,127,545,457
2017/07/09/10:04:37.298816,164140,1499565877,298667907,0,363,698,219,111,90,144,540,408
2017/07/09/10:04:37.321316,164141,1499565877,321027040,0,350,702,219,105,70,114,423,298
2017/07/09/10:04:37.336694,164142,1499565877,336328983,0,396,710,221,110,71,113,432,319
2017/07/09/10:04:37.359688,164143,1499565877,359060049,0,391,610,229,126,74,114,442,338
2017/07/09/10:04:37.373954,164144,1499565877,373755931,0,358,585,278,114,72,133,486,374
2017/07/09/10:04:37.396914,164145,1499565877,396450042,0,413,668,301,108,68,120,470,377
2017/07/09/10:04:37.418948,164146,1499565877,418643951,0,444,707,312,116,80,138,445,447
2017/07/09/10:04:37.433844,164147,1499565877,433559894,0,386,722,318,124,91,165,443,443
2017/07/09/10:04:37.456532,164148,1499565877,456233024,0,350,737,309,118,95,171,430,439
2017/07/09/10:04:37.479234,164149,1499565877,478811979,0,384,694,269,120,93,163,406,420
