time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.quat,.acc
2017/07/09/10:07:48.392022,10483,1499566068,391823053,0,"(-10246, -7960, 7095, 7054)","(237, 1941, 288)"
2017/07/09/10:07:48.408389,10484,1499566068,408324956,0,"(-10258, -7962, 7087, 7042)","(245, 1990, 152)"
2017/07/09/10:07:48.431452,10485,1499566068,431197881,0,"(-10295, -7942, 7066, 7032)","(250, 2111, 380)"
2017/07/09/10:07:48.461287,10486,1499566068,461075067,0,"(-10328, -7917, 7052, 7026)","(257, 1991, 304)"
2017/07/09/10:07:48.473254,10487,1499566068,473146915,0,"(-10347, -7899, 7043, 7028)","(201, 1933, 271)"
2017/07/09/10:07:48.489384,10488,1499566068,489101886,0,"(-10378, -7880, 7021, 7024)","(217, 2009, 404)"
2017/07/09/10:07:48.511613,10489,1499566068,511408090,0,"(-10421, -7844, 7008, 7014)","(268, 1924, 444)"
2017/07/09/10:07:48.526824,10490,1499566068,526669025,0,"(-10440, -7830, 7016, 6994)","(241, 1886, 353)"
2017/07/09/10:07:48.549212,10491,1499566068,549056053,0,"(-10438, -7837, 7030, 6976)","(241, 1885, 316)"
2017/07/09/10:07:48.572393,10492,1499566068,571985960,0,"(-10433, -7844, 7037, 6966)","(269, 1965, 259)"
2017/07/09/10:07:48.587203,10493,1499566068,586972951,0,"(-10462, -7823, 7034, 6949)","(340, 2013, 374)"
2017/07/09/10:07:48.609152,10494,1499566068,609042882,0,"(-10515, -7772, 7018, 6945)","(355, 1913, 390)"
2017/07/09/10:07:48.632372,10495,1499566068,632067918,0,"(-10564, -7718, 7001, 6946)","(338, 1728, 419)"
2017/07/09/10:07:48.654303,10496,1499566068,654191017,0,"(-10571, -7710, 7003, 6943)","(259, 1794, 361)"
2017/07/09/10:07:48.669820,10497,1499566068,669539928,0,"(-10553, -7729, 7012, 6940)","(230, 2045, 318)"
2017/07/09/10:07:48.692184,10498,1499566068,691845893,0,"(-10566, -7708, 7013, 6942)","(400, 2060, 410)"
2017/07/09/10:07:48.714355,10499,1499566068,714070081,0,"(-10610, -7661, 6998, 6944)","(375, 1756, 439)"
2017/07/09/10:07:48.729801,10500,1499566068,729511976,0,"(-10610, -7663, 6990, 6947)","(239, 1841, 372)"
2017/07/09/10:07:48.752052,10501,1499566068,751857042,0,"(-10601, -7673, 6981, 6962)","(238, 1970, 395)"
2017/07/09/10:07:48.774495,10502,1499566068,774231910,0,"(-10609, -7658, 6957, 6989)","(272, 2028, 387)"
2017/07/09/10:07:48.790671,10503,1499566068,790448904,0,"(-10637, -7628, 6934, 7003)","(376, 1805, 463)"
2017/07/09/10:07:48.811683,10504,1499566068,811513900,0,"(-10655, -7619, 6905, 7014)","(381, 1861, 450)"
2017/07/09/10:07:48.834856,10505,1499566068,834608078,0,"(-10651, -7631, 6868, 7042)","(180, 1997, 413)"
2017/07/09/10:07:48.849807,10506,1499566068,849539041,0,"(-10661, -7631, 6834, 7060)","(331, 1887, 537)"
2017/07/09/10:07:48.871980,10507,1499566068,871753931,0,"(-10656, -7675, 6746, 7104)","(102, 1823, 539)"
2017/07/09/10:07:48.894267,10508,1499566068,893982887,0,"(-10657, -7706, 6715, 7099)","(380, 2162, 553)"
2017/07/09/10:07:48.909259,10509,1499566068,909037113,0,"(-10653, -7756, 6630, 7131)","(158, 2167, 503)"
2017/07/09/10:07:48.948181,10510,1499566068,947464942,0,"(-10675, -7784, 6536, 7153)","(171, 2074, 545)"
2017/07/09/10:07:48.962790,10511,1499566068,962532043,0,"(-10699, -7822, 6427, 7174)","(65, 1941, 561)"
2017/07/09/10:07:48.969649,10512,1499566068,969379901,0,"(-10700, -7884, 6327, 7194)","(69, 1924, 536)"
2017/07/09/10:07:49.000093,10513,1499566068,999779939,0,"(-10688, -7961, 6224, 7218)","(64, 2066, 544)"
2017/07/09/10:07:49.014492,10514,1499566069,14228105,0,"(-10694, -8026, 6110, 7233)","(74, 2053, 564)"
2017/07/09/10:07:49.029570,10515,1499566069,29347896,0,"(-10708, -8085, 5989, 7248)","(7, 1982, 508)"
2017/07/09/10:07:49.053074,10516,1499566069,52913904,0,"(-10711, -8153, 5865, 7269)","(-52, 1958, 525)"
2017/07/09/10:07:49.074286,10517,1499566069,74207067,0,"(-10703, -8226, 5748, 7293)","(-65, 2005, 521)"
2017/07/09/10:07:49.089141,10518,1499566069,89051008,0,"(-10710, -8283, 5625, 7314)","(-30, 1999, 517)"
2017/07/09/10:07:49.127902,10519,1499566069,127568006,0,"(-10728, -8329, 5495, 7334)","(-97, 1864, 549)"
2017/07/09/10:07:49.134682,10520,1499566069,134409904,0,"(-10734, -8384, 5363, 7360)","(-114, 1934, 519)"
2017/07/09/10:07:49.156677,10521,1499566069,156533956,0,"(-10737, -8438, 5237, 7385)","(-134, 1929, 512)"
2017/07/09/10:07:49.180554,10522,1499566069,180260896,0,"(-10749, -8477, 5106, 7413)","(-142, 1917, 529)"
2017/07/09/10:07:49.194338,10523,1499566069,194089889,0,"(-10768, -8502, 4967, 7453)","(-203, 1895, 536)"
2017/07/09/10:07:49.209210,10524,1499566069,209063053,0,"(-10783, -8522, 4831, 7497)","(-244, 1795, 543)"
2017/07/09/10:07:49.240554,10525,1499566069,239964962,0,"(-10771, -8561, 4713, 7545)","(-294, 1843, 504)"
2017/07/09/10:07:49.254487,10526,1499566069,254307031,0,"(-10764, -8580, 4597, 7604)","(-217, 1995, 534)"
2017/07/09/10:07:49.271575,10527,1499566069,271224021,0,"(-10781, -8571, 4459, 7673)","(-227, 1950, 551)"
2017/07/09/10:07:49.302799,10528,1499566069,302503108,0,"(-10799, -8554, 4315, 7749)","(-343, 1777, 593)"
2017/07/09/10:07:49.314143,10529,1499566069,314044952,0,"(-10797, -8552, 4180, 7827)","(-354, 1812, 620)"
2017/07/09/10:07:49.338508,10530,1499566069,338236093,0,"(-10778, -8559, 4061, 7907)","(-410, 1932, 620)"
2017/07/09/10:07:49.351777,10531,1499566069,351627111,0,"(-10784, -8537, 3938, 7985)","(-374, 1969, 696)"
2017/07/09/10:07:49.374396,10532,1499566069,374174118,0,"(-10812, -8490, 3800, 8064)","(-454, 1802, 700)"
2017/07/09/10:07:49.405162,10533,1499566069,405044078,0,"(-10824, -8452, 3669, 8148)","(-475, 1675, 762)"
2017/07/09/10:07:49.411652,10534,1499566069,411523103,0,"(-10818, -8426, 3553, 8235)","(-456, 1887, 785)"
2017/07/09/10:07:49.434582,10535,1499566069,434290885,0,"(-10827, -8371, 3420, 8334)","(-552, 1998, 760)"
2017/07/09/10:07:49.456943,10536,1499566069,456667900,0,"(-10876, -8268, 3248, 8441)","(-489, 1805, 818)"
2017/07/09/10:07:49.471751,10537,1499566069,471611022,0,"(-10923, -8163, 3075, 8547)","(-582, 1466, 849)"
2017/07/09/10:07:49.494202,10538,1499566069,494034051,0,"(-10933, -8085, 2928, 8659)","(-548, 1619, 923)"
2017/07/09/10:07:49.517269,10539,1499566069,517060995,0,"(-10940, -8005, 2783, 8771)","(-534, 1821, 861)"
2017/07/09/10:07:49.532010,10540,1499566069,531810045,0,"(-10980, -7886, 2612, 8881)","(-520, 1702, 957)"
2017/07/09/10:07:49.556491,10541,1499566069,556366920,0,"(-11039, -7740, 2412, 8992)","(-563, 1514, 1078)"
2017/07/09/10:07:49.576918,10542,1499566069,576778888,0,"(-11067, -7623, 2224, 9105)","(-641, 1359, 1051)"
2017/07/09/10:07:49.591968,10543,1499566069,591834068,0,"(-11066, -7542, 2079, 9208)","(-681, 1534, 1063)"
2017/07/09/10:07:49.614067,10544,1499566069,613992929,0,"(-11083, -7447, 1950, 9292)","(-595, 1615, 1111)"
2017/07/09/10:07:49.636792,10545,1499566069,636593103,0,"(-11138, -7312, 1780, 9368)","(-646, 1406, 1174)"
2017/07/09/10:07:49.651993,10546,1499566069,651777982,0,"(-11169, -7198, 1616, 9448)","(-759, 1132, 1184)"
2017/07/09/10:07:49.683320,10547,1499566069,683096885,0,"(-11149, -7147, 1513, 9527)","(-827, 1400, 1164)"
2017/07/09/10:07:49.697243,10548,1499566069,696926116,0,"(-11146, -7089, 1440, 9585)","(-695, 1568, 1183)"
2017/07/09/10:07:49.711794,10549,1499566069,711570024,0,"(-11184, -6989, 1335, 9630)","(-606, 1427, 1147)"
2017/07/09/10:07:49.734469,10550,1499566069,734167098,0,"(-11237, -6854, 1172, 9687)","(-673, 1142, 1201)"
2017/07/09/10:07:49.756814,10551,1499566069,756717920,0,"(-11256, -6741, 1022, 9760)","(-862, 911, 1248)"
2017/07/09/10:07:49.771932,10552,1499566069,771737098,0,"(-11240, -6675, 936, 9832)","(-869, 1242, 1315)"
2017/07/09/10:07:49.794757,10553,1499566069,794518947,0,"(-11252, -6600, 862, 9876)","(-672, 1378, 1284)"
2017/07/09/10:07:49.816579,10554,1499566069,816478013,0,"(-11300, -6478, 735, 9913)","(-666, 1160, 1325)"
2017/07/09/10:07:49.831725,10555,1499566069,831511020,0,"(-11332, -6359, 589, 9963)","(-908, 881, 1350)"
2017/07/09/10:07:49.854599,10556,1499566069,854403018,0,"(-11341, -6267, 485, 10016)","(-861, 1061, 1384)"
2017/07/09/10:07:49.876794,10557,1499566069,876641035,0,"(-11363, -6162, 373, 10060)","(-754, 1169, 1383)"
2017/07/09/10:07:49.892156,10558,1499566069,891987085,0,"(-11395, -6028, 221, 10109)","(-841, 959, 1447)"
2017/07/09/10:07:49.914119,10559,1499566069,913942098,0,"(-11415, -5904, 75, 10163)","(-870, 884, 1486)"
2017/07/09/10:07:49.945288,10560,1499566069,945066928,0,"(-11427, -5793, -61, 10213)","(-867, 1021, 1469)"
2017/07/09/10:07:49.959275,10561,1499566069,959175109,0,"(-11449, -5666, -202, 10258)","(-833, 938, 1443)"
2017/07/09/10:07:49.974278,10562,1499566069,974081993,0,"(-11480, -5532, -346, 10292)","(-671, 823, 1554)"
2017/07/09/10:07:49.997283,10563,1499566069,997059106,0,"(-11509, -5417, -503, 10315)","(-846, 647, 1584)"
2017/07/09/10:07:50.011527,10564,1499566070,11430978,0,"(-11524, -5314, -658, 10343)","(-936, 697, 1532)"
2017/07/09/10:07:50.034522,10565,1499566070,34348964,0,"(-11535, -5216, -796, 10370)","(-900, 717, 1599)"
2017/07/09/10:07:50.056860,10566,1499566070,56675910,0,"(-11540, -5146, -915, 10390)","(-1019, 739, 1561)"
2017/07/09/10:07:50.071644,10567,1499566070,71470022,0,"(-11552, -5084, -1018, 10397)","(-923, 734, 1651)"
2017/07/09/10:07:50.094329,10568,1499566070,94180107,0,"(-11558, -5035, -1118, 10405)","(-903, 657, 1632)"
2017/07/09/10:07:50.116557,10569,1499566070,116456031,0,"(-11556, -4996, -1213, 10415)","(-964, 636, 1603)"
2017/07/09/10:07:50.132031,10570,1499566070,131638050,0,"(-11562, -4953, -1295, 10419)","(-927, 571, 1681)"
2017/07/09/10:07:50.154248,10571,1499566070,154095888,0,"(-11561, -4947, -1346, 10416)","(-996, 483, 1633)"
2017/07/09/10:07:50.177040,10572,1499566070,176830053,0,"(-11557, -4970, -1372, 10407)","(-973, 647, 1642)"
2017/07/09/10:07:50.191816,10573,1499566070,191612958,0,"(-11559, -4981, -1421, 10393)","(-1079, 639, 1606)"
2017/07/09/10:07:50.214092,10574,1499566070,213903903,0,"(-11565, -4959, -1483, 10387)","(-991, 492, 1642)"
2017/07/09/10:07:50.237112,10575,1499566070,236850023,0,"(-11564, -4952, -1531, 10386)","(-986, 477, 1564)"
2017/07/09/10:07:50.251876,10576,1499566070,251658916,0,"(-11558, -4962, -1566, 10381)","(-1067, 634, 1553)"
2017/07/09/10:07:50.259472,10577,1499566070,259232997,0,"(-11556, -4965, -1597, 10378)","(-1002, 616, 1577)"
2017/07/09/10:07:50.282253,10578,1499566070,281928062,0,"(-11561, -4960, -1631, 10369)","(-965, 573, 1580)"
2017/07/09/10:07:50.305097,10579,1499566070,304863929,0,"(-11566, -4950, -1680, 10361)","(-1087, 446, 1631)"
2017/07/09/10:07:50.319438,10580,1499566070,319082975,0,"(-11557, -4964, -1700, 10361)","(-1115, 537, 1545)"
2017/07/09/10:07:50.342310,10581,1499566070,342113018,0,"(-11554, -4978, -1703, 10357)","(-1060, 672, 1564)"
2017/07/09/10:07:50.364875,10582,1499566070,364741086,0,"(-11558, -4965, -1725, 10355)","(-1029, 537, 1615)"
2017/07/09/10:07:50.379769,10583,1499566070,379489898,0,"(-11559, -4958, -1757, 10352)","(-1038, 400, 1585)"
2017/07/09/10:07:50.402152,10584,1499566070,401935100,0,"(-11552, -4973, -1782, 10348)","(-1142, 557, 1512)"
2017/07/09/10:07:50.425122,10585,1499566070,424894094,0,"(-11549, -4963, -1803, 10353)","(-1063, 440, 1545)"
2017/07/09/10:07:50.439669,10586,1499566070,439321994,0,"(-11560, -4938, -1815, 10351)","(-863, 501, 1587)"
2017/07/09/10:07:50.462051,10587,1499566070,461757898,0,"(-11574, -4919, -1848, 10338)","(-975, 378, 1567)"
2017/07/09/10:07:50.486389,10588,1499566070,485394954,0,"(-11584, -4924, -1871, 10321)","(-1076, 442, 1456)"
2017/07/09/10:07:50.499447,10589,1499566070,499100923,0,"(-11603, -4911, -1903, 10299)","(-1138, 504, 1570)"
2017/07/09/10:07:50.521819,10590,1499566070,521610975,0,"(-11618, -4892, -1942, 10284)","(-1144, 335, 1586)"
2017/07/09/10:07:50.546418,10591,1499566070,545121908,0,"(-11629, -4899, -1946, 10268)","(-1074, 474, 1513)"
2017/07/09/10:07:50.559568,10592,1499566070,559335947,0,"(-11643, -4911, -1940, 10247)","(-1096, 617, 1550)"
2017/07/09/10:07:50.582258,10593,1499566070,582005977,0,"(-11665, -4897, -1964, 10224)","(-1173, 593, 1577)"
2017/07/09/10:07:50.605077,10594,1499566070,604885101,0,"(-11679, -4882, -1978, 10213)","(-1282, 440, 1589)"
2017/07/09/10:07:50.619283,10595,1499566070,619071960,0,"(-11686, -4886, -1964, 10205)","(-986, 575, 1539)"
2017/07/09/10:07:50.642456,10596,1499566070,642088890,0,"(-11696, -4892, -1971, 10189)","(-1099, 711, 1519)"
2017/07/09/10:07:50.665239,10597,1499566070,665045976,0,"(-11710, -4884, -1987, 10175)","(-1085, 589, 1635)"
2017/07/09/10:07:50.682506,10598,1499566070,679781913,0,"(-11718, -4876, -2005, 10165)","(-1103, 478, 1664)"
2017/07/09/10:07:50.701883,10599,1499566070,701615095,0,"(-11731, -4861, -2030, 10153)","(-1125, 468, 1681)"
2017/07/09/10:07:50.725119,10600,1499566070,724831104,0,"(-11735, -4865, -2048, 10143)","(-1172, 452, 1521)"
2017/07/09/10:07:50.739347,10601,1499566070,739171981,0,"(-11729, -4888, -2034, 10142)","(-1208, 584, 1561)"
2017/07/09/10:07:50.761975,10602,1499566070,761749982,0,"(-11741, -4889, -2018, 10130)","(-1030, 590, 1649)"
2017/07/09/10:07:50.787677,10603,1499566070,785370111,0,"(-11755, -4874, -2038, 10117)","(-1126, 470, 1629)"
2017/07/09/10:07:50.799809,10604,1499566070,799551010,0,"(-11760, -4864, -2052, 10113)","(-1081, 444, 1528)"
2017/07/09/10:07:50.821791,10605,1499566070,821590900,0,"(-11759, -4876, -2049, 10109)","(-1084, 547, 1567)"
2017/07/09/10:07:50.845342,10606,1499566070,845135927,0,"(-11760, -4897, -2047, 10098)","(-1218, 607, 1563)"
2017/07/09/10:07:50.860036,10607,1499566070,859622001,0,"(-11765, -4897, -2053, 10092)","(-1134, 411, 1616)"
2017/07/09/10:07:50.881790,10608,1499566070,881583929,0,"(-11767, -4901, -2050, 10088)","(-1094, 540, 1620)"
2017/07/09/10:07:50.905180,10609,1499566070,904927968,0,"(-11770, -4914, -2058, 10077)","(-1185, 597, 1534)"
2017/07/09/10:07:50.927999,10610,1499566070,927519083,0,"(-11770, -4915, -2061, 10075)","(-1157, 497, 1562)"
2017/07/09/10:07:50.942348,10611,1499566070,942101001,0,"(-11772, -4912, -2047, 10077)","(-1068, 520, 1654)"
2017/07/09/10:07:50.965039,10612,1499566070,964819908,0,"(-11776, -4911, -2040, 10074)","(-1109, 488, 1625)"
2017/07/09/10:07:50.987335,10613,1499566070,987210035,0,"(-11775, -4929, -2026, 10069)","(-1120, 552, 1531)"
2017/07/09/10:07:51.002385,10614,1499566071,1816034,0,"(-11770, -4956, -1997, 10068)","(-1079, 652, 1495)"
2017/07/09/10:07:51.024981,10615,1499566071,24859905,0,"(-11769, -4962, -1977, 10070)","(-1128, 699, 1594)"
2017/07/09/10:07:51.047664,10616,1499566071,47463893,0,"(-11774, -4954, -1978, 10068)","(-1129, 552, 1656)"
2017/07/09/10:07:51.061999,10617,1499566071,61712980,0,"(-11774, -4953, -1977, 10068)","(-1040, 570, 1602)"
2017/07/09/10:07:51.085267,10618,1499566071,85072040,0,"(-11764, -4964, -1975, 10075)","(-1124, 564, 1584)"
2017/07/09/10:07:51.107454,10619,1499566071,107203960,0,"(-11758, -4971, -1964, 10081)","(-1164, 563, 1588)"
2017/07/09/10:07:51.122189,10620,1499566071,121952056,0,"(-11752, -4975, -1944, 10090)","(-1119, 487, 1578)"
2017/07/09/10:07:51.144393,10621,1499566071,144273996,0,"(-11749, -4978, -1919, 10096)","(-1018, 584, 1571)"
2017/07/09/10:07:51.167359,10622,1499566071,167211055,0,"(-11749, -4972, -1913, 10101)","(-1070, 575, 1589)"
2017/07/09/10:07:51.181887,10623,1499566071,181699991,0,"(-11749, -4964, -1917, 10104)","(-1160, 485, 1581)"
2017/07/09/10:07:51.204296,10624,1499566071,204020023,0,"(-11744, -4968, -1901, 10111)","(-1105, 528, 1537)"
2017/07/09/10:07:51.228781,10625,1499566071,227505922,0,"(-11738, -4980, -1877, 10117)","(-1060, 627, 1542)"
2017/07/09/10:07:51.242545,10626,1499566071,242214918,0,"(-11739, -4975, -1868, 10119)","(-1024, 597, 1561)"
2017/07/09/10:07:51.272664,10627,1499566071,272427082,0,"(-11744, -4952, -1879, 10123)","(-1061, 486, 1630)"
2017/07/09/10:07:51.287479,10628,1499566071,287322998,0,"(-11741, -4947, -1882, 10128)","(-1148, 503, 1595)"
2017/07/09/10:07:51.301976,10629,1499566071,301683902,0,"(-11736, -4957, -1864, 10132)","(-1064, 587, 1585)"
2017/07/09/10:07:51.324295,10630,1499566071,324099063,0,"(-11739, -4955, -1855, 10132)","(-1065, 624, 1632)"
2017/07/09/10:07:51.347768,10631,1499566071,347595930,0,"(-11743, -4946, -1867, 10129)","(-1106, 536, 1634)"
2017/07/09/10:07:51.361938,10632,1499566071,361762046,0,"(-11740, -4949, -1869, 10130)","(-1041, 569, 1544)"
2017/07/09/10:07:51.384466,10633,1499566071,384229898,0,"(-11741, -4949, -1869, 10130)","(-1070, 608, 1568)"
2017/07/09/10:07:51.407476,10634,1499566071,407202005,0,"(-11743, -4940, -1871, 10131)","(-1115, 539, 1611)"
2017/07/09/10:07:51.421651,10635,1499566071,421488046,0,"(-11742, -4943, -1860, 10133)","(-1123, 509, 1632)"
2017/07/09/10:07:51.444283,10636,1499566071,444154024,0,"(-11735, -4955, -1841, 10139)","(-1066, 605, 1586)"
2017/07/09/10:07:51.471124,10637,1499566071,470880031,0,"(-11736, -4954, -1831, 10140)","(-1009, 643, 1575)"
2017/07/09/10:07:51.482333,10638,1499566071,482053041,0,"(-11738, -4948, -1836, 10140)","(-1083, 581, 1611)"
2017/07/09/10:07:51.504373,10639,1499566071,504153966,0,"(-11737, -4944, -1837, 10142)","(-1081, 526, 1634)"
2017/07/09/10:07:51.528179,10640,1499566071,528006076,0,"(-11733, -4949, -1826, 10146)","(-1036, 595, 1605)"
2017/07/09/10:07:51.542109,10641,1499566071,541940927,0,"(-11729, -4957, -1821, 10148)","(-1057, 608, 1543)"
2017/07/09/10:07:51.564656,10642,1499566071,564469099,0,"(-11729, -4957, -1821, 10148)","(-1088, 600, 1581)"
2017/07/09/10:07:51.587552,10643,1499566071,587310075,0,"(-11733, -4946, -1828, 10147)","(-1087, 525, 1626)"
2017/07/09/10:07:51.601858,10644,1499566071,601551055,0,"(-11730, -4946, -1830, 10151)","(-1109, 504, 1586)"
2017/07/09/10:07:51.624938,10645,1499566071,624691963,0,"(-11724, -4953, -1815, 10156)","(-1030, 600, 1549)"
2017/07/09/10:07:51.648150,10646,1499566071,647480964,0,"(-11723, -4954, -1805, 10160)","(-1037, 622, 1610)"
2017/07/09/10:07:51.663333,10647,1499566071,662580966,0,"(-11720, -4955, -1800, 10163)","(-1113, 581, 1597)"
