time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2017/07/09/10:08:58.713989,452697,1499566141,517000640,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05445631796993219, 0.3746748074410123, 1.2616991980357528, -0.839854481367264, -0.9698593531405528, -0.20363594959178868, 1.1911360817930239, 1.6609176980829317, 0.04793689962141918, 1.8530487917655798, -0.9480001269131857, -1.4177817432030937, 0.0724805922275858, 1.2168302599901044, -0.1679708962734528, -12.565987119160338)","(0.0, -0.008246680714126275, -0.01531526418337737, -0.005890486224375911, -0.00510508806112579, 0.001570796326500243, -0.01021017612225158, 0.013351768775252066, 0.014529866020127248, 0.01688606050987761, -0.014529866020127248, -0.00039269908162506076, 0.01610066234662749, 0.003926990816250607, -0.008246680714126275, -0.013351768775252066, 0.0)","(0.0, 0.0, 4.208, -14.328, 1.056, -22.044, 0.136, -0.108, 0.212, 1.26, -14.504, 1.62, -21.888, 0.432, 0.452, 0.056, -20.48)"
2017/07/09/10:08:58.724055,452698,1499566141,527036831,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.054072822772960834, 0.3739078170470696, 1.2616991980357528, -0.8402379765642354, -0.9706263435344955, -0.20325245439481732, 1.190369091399081, 1.661301193279903, 0.048703890015361885, 1.8530487917655798, -0.948383622110157, -1.4177817432030937, 0.07286408742455715, 1.215296279202219, -0.16835439147042416, -12.565987119160338)","(0.0, 0.0070685834692510935, -0.005890486224375911, -0.0011780972448751821, -0.005890486224375911, 0.01021017612225158, 0.001570796326500243, -0.005497787142750851, 0.014137166938502187, -0.01531526418337737, -0.006675884387626033, -0.003141592653000486, 0.0019634954081253035, 0.00039269908162506076, 0.028274333877004374, 0.00510508806112579, 0.0)","(0.0, 0.0, 4.144, -14.268, 1.028, -22.076, 0.156, -0.108, 0.212, 1.168, -14.444, 1.588, -21.888, 0.432, 0.44, 0.044, -20.48)"
2017/07/09/10:08:58.734077,452699,1499566141,537049249,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.054072822772960834, 0.3739078170470696, 1.2613157028387814, -0.8410049669581781, -0.9702428483375242, -0.2044029399857314, 1.1911360817930239, 1.6616846884768743, 0.047553404424447825, 1.8526652965686083, -0.9480001269131857, -1.418165238400065, 0.0724805922275858, 1.2172137551870759, -0.1672039058795101, -12.565987119160338)","(0.0, 0.0035342917346255468, -0.021598449489378342, -0.0027488935713754254, -0.01649336142825255, 0.011388273367126762, -0.019242254999627974, -0.0023561944897503642, -0.01649336142825255, 0.001570796326500243, -0.010995574285501701, -0.009817477040626518, -0.0035342917346255468, 0.0, 0.0007853981632501215, 0.010995574285501701, 0.0)","(0.0, 0.0, 4.176, -14.296, 1.152, -22.012, 0.156, -0.108, 0.212, 1.228, -14.472, 1.62, -21.916, 0.42, 0.46, 0.056, -20.48)"
2017/07/09/10:08:58.734829,433435,1499566141,540000000,,['l_gripper_l_finger_joint'],"(0.019895320258140566,)","(0.0,)","(0.0,)"
2017/07/09/10:08:58.735250,433436,1499566141,540000000,,['r_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)"
2017/07/09/10:08:58.743845,452700,1499566141,547027777,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05445631796993219, 0.3746748074410123, 1.2613157028387814, -0.8406214717612067, -0.9706263435344955, -0.20363594959178868, 1.1907525865960524, 1.661301193279903, 0.048703890015361885, 1.8526652965686083, -0.9480001269131857, -1.4177817432030937, 0.07286408742455715, 1.2156797743991905, -0.16758740107648146, -12.565987119160338)","(0.0, -0.0011780972448751821, -0.005890486224375911, 0.010995574285501701, -0.011780972448751823, 0.01021017612225158, -0.018849555918002914, -0.0019634954081253035, -0.008639379795751335, -0.001570796326500243, 0.0047123889795007284, 0.008639379795751335, 0.01060287520387664, 0.0011780972448751821, -0.01767145867312773, -0.013351768775252066, 0.0)","(0.0, 0.0, 4.404, -14.268, 1.12, -22.108, 0.18, -0.108, 0.224, 1.292, -14.444, 1.556, -21.916, 0.432, 0.46, 0.028, -20.48)"
2017/07/09/10:08:58.753831,452701,1499566141,557022932,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05445631796993219, 0.3739078170470696, 1.2616991980357528, -0.8406214717612067, -0.9706263435344955, -0.20363594959178868, 1.1911360817930239, 1.661301193279903, 0.04793689962141918, 1.8518983061746657, -0.9480001269131857, -1.4177817432030937, 0.07363107781849985, 1.215296279202219, -0.16758740107648146, -12.565987119160338)","(0.0, -0.009032078877376396, -0.01531526418337737, -0.004319689897875668, -0.0019634954081253035, 0.009424777959001457, 0.0023561944897503642, 0.01021017612225158, -0.0011780972448751821, 0.013351768775252066, 0.003926990816250607, 0.006675884387626033, 0.0007853981632501215, -0.003141592653000486, -0.008246680714126275, -0.009032078877376396, 0.0)","(0.0, 0.0, 4.34, -14.236, 1.212, -22.076, 0.18, -0.116, 0.184, 1.356, -14.412, 1.62, -21.916, 0.448, 0.44, 0.036, -20.48)"
2017/07/09/10:08:58.763917,452702,1499566141,567028918,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05445631796993219, 0.3739078170470696, 1.2616991980357528, -0.8410049669581781, -0.9702428483375242, -0.20401944478876002, 1.191519576989995, 1.661301193279903, 0.04832039481839053, 1.8526652965686083, -0.9480001269131857, -1.418165238400065, 0.0724805922275858, 1.215296279202219, -0.1679708962734528, -12.565987119160338)","(0.0, -0.005497787142750851, -0.02552544030562895, 0.0023561944897503642, -0.01688606050987761, 0.021598449489378342, -0.0047123889795007284, 0.0023561944897503642, 0.009424777959001457, 0.001570796326500243, -0.0019634954081253035, -0.009817477040626518, 0.001570796326500243, 0.0007853981632501215, 0.001570796326500243, -0.011780972448751823, 0.0)","(0.0, 0.0, 4.468, -14.268, 1.308, -22.108, 0.216, -0.108, 0.204, 1.292, -14.412, 1.68, -21.916, 0.432, 0.46, 0.044, -20.48)"
2017/07/09/10:08:58.774216,452703,1499566141,576987309,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.054072822772960834, 0.3739078170470696, 1.2616991980357528, -0.8410049669581781, -0.9702428483375242, -0.20401944478876002, 1.1907525865960524, 1.6616846884768743, 0.04832039481839053, 1.8522818013716371, -0.948383622110157, -1.4177817432030937, 0.07286408742455715, 1.2156797743991905, -0.1679708962734528, -12.565987119160338)","(0.0, -0.006675884387626033, -0.022776546734253524, 0.009817477040626518, -0.018064157754752792, 0.01531526418337737, -0.010995574285501701, -0.009424777959001457, 0.01610066234662749, 0.006675884387626033, 0.014529866020127248, -0.004319689897875668, -0.00510508806112579, 0.015707963265002428, -0.0047123889795007284, -0.0011780972448751821, 0.0)","(0.0, 0.0, 4.532, -14.204, 1.464, -22.108, 0.232, -0.096, 0.224, 1.26, -14.412, 1.588, -21.916, 0.456, 0.46, 0.044, -20.48)"
2017/07/09/10:08:58.783981,452704,1499566141,587026827,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.054072822772960834, 0.3739078170470696, 1.2609322076418101, -0.8421554525490922, -0.9694758579435815, -0.2044029399857314, 1.1907525865960524, 1.6616846884768743, 0.04832039481839053, 1.8526652965686083, -0.947233136519243, -1.4177817432030937, 0.0724805922275858, 1.2156797743991905, -0.16835439147042416, -12.565987119160338)","(0.0, 0.012173671530376884, -0.01688606050987761, 0.006675884387626033, -0.02670353755050413, -0.003141592653000486, -0.027488935713754253, -0.014529866020127248, 0.0023561944897503642, -0.006283185306000972, -0.01060287520387664, 0.01060287520387664, 0.003926990816250607, 0.0023561944897503642, 0.0023561944897503642, -0.009032078877376396, 0.0)","(0.0, 0.0, 4.756, -14.236, 1.496, -22.172, 0.292, -0.088, 0.196, 1.26, -14.444, 1.68, -21.916, 0.432, 0.46, 0.036, -20.48)"
