time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.ch0,.ch1,.ch2,.ch3,.ch4,.ch5,.ch6,.ch7
2017/07/09/09:29:42.783533,59662,1499563782,783328056,0,504,137,76,71,75,337,202,209
2017/07/09/09:29:42.798452,59663,1499563782,798285961,0,454,167,91,59,72,333,207,241
2017/07/09/09:29:42.821720,59664,1499563782,821250915,0,470,187,95,60,71,337,205,232
2017/07/09/09:29:42.836221,59665,1499563782,836009025,0,513,193,96,53,66,333,200,228
2017/07/09/09:29:42.858739,59666,1499563782,858375072,0,592,214,106,70,92,299,142,227
2017/07/09/09:29:42.889478,59667,1499563782,889301061,0,638,225,113,84,120,319,165,245
2017/07/09/09:29:42.895875,59668,1499563782,895771026,0,623,196,101,91,122,323,159,242
2017/07/09/09:29:42.918449,59669,1499563782,918334960,0,630,175,94,93,124,319,161,251
2017/07/09/09:29:42.941244,59670,1499563782,940927982,0,623,173,92,95,125,321,162,255
2017/07/09/09:29:42.956606,59671,1499563782,956213951,0,612,172,86,84,101,230,141,261
2017/07/09/09:29:42.978454,59672,1499563782,978364944,0,607,182,76,71,77,188,122,248
2017/07/09/09:29:43.001146,59673,1499563783,930070,0,636,182,90,75,82,213,136,223
2017/07/09/09:29:43.016384,59674,1499563783,16109943,0,648,184,91,72,83,221,145,233
2017/07/09/09:29:43.038815,59675,1499563783,38595914,0,649,171,85,70,83,213,144,223
2017/07/09/09:29:43.060717,59676,1499563783,60622930,0,663,170,79,68,80,181,142,243
2017/07/09/09:29:43.076132,59677,1499563783,75872898,0,663,161,84,66,75,163,128,257
2017/07/09/09:29:43.098750,59678,1499563783,98560094,0,707,192,75,58,76,196,134,302
2017/07/09/09:29:43.121336,59679,1499563783,121094942,0,716,220,84,71,99,210,194,321
2017/07/09/09:29:43.136140,59680,1499563783,135921955,0,730,244,90,74,99,214,199,340
2017/07/09/09:29:43.174233,59681,1499563783,174053907,0,681,238,97,78,101,212,200,328
2017/07/09/09:29:43.189589,59682,1499563783,189485073,0,653,238,93,76,99,212,201,365
2017/07/09/09:29:43.195862,59683,1499563783,195650100,0,633,233,91,72,94,175,201,322
2017/07/09/09:29:43.218794,59684,1499563783,218493938,0,586,206,84,59,68,152,136,313
2017/07/09/09:29:43.241546,59685,1499563783,241107940,0,651,210,92,69,80,165,161,335
2017/07/09/09:29:43.263628,59686,1499563783,263401031,0,649,220,95,93,94,218,196,384
2017/07/09/09:29:43.278687,59687,1499563783,278443098,0,691,255,114,128,127,264,218,384
2017/07/09/09:29:43.301085,59688,1499563783,300853013,0,714,317,159,136,128,245,224,459
2017/07/09/09:29:43.323426,59689,1499563783,323260068,0,738,343,182,141,136,247,231,467
2017/07/09/09:29:43.338490,59690,1499563783,338273048,0,654,331,184,146,135,253,223,440
2017/07/09/09:29:43.361425,59691,1499563783,361187934,0,678,334,185,147,144,301,212,434
2017/07/09/09:29:43.383491,59692,1499563783,383300065,0,650,315,178,129,129,274,189,418
2017/07/09/09:29:43.398672,59693,1499563783,398374080,0,666,239,137,135,135,271,171,414
2017/07/09/09:29:43.421704,59694,1499563783,421355009,0,673,213,119,178,159,270,164,442
2017/07/09/09:29:43.443518,59695,1499563783,443330049,0,647,212,109,179,162,289,153,464
