time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2017/07/09/09:37:42.028463,226912,1499564264,828000000,,['r_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)"
2017/07/09/09:37:42.029395,265028,1499564264,827626991,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05330583237901813, 0.279951493789088, 1.04272344056511, -0.5299903622144104, -1.0281506230801987, -0.29950974883462705, 1.3840341658696145, 1.8480633542049523, 0.04832039481839053, 1.854199277356494, -0.948383622110157, -1.417014752809151, 0.07286408742455715, 1.2156797743991905, -0.16835439147042416, -12.565987119160338)","(0.0, 0.013351768775252066, 0.00510508806112579, 0.014922565101752308, -0.46456301356244684, -0.1959568417309053, -0.011388273367126762, 0.226194671016035, 0.012959069693627005, 0.0027488935713754254, -0.005497787142750851, -0.0007853981632501215, 0.023561944897503646, -0.007853981632501214, -0.03652101459113065, -0.0027488935713754254, 0.0)","(0.0, 0.0, 2.572, -15.172, 0.06, -25.072, -0.104, -0.36, -0.056, 1.292, -14.324, 1.62, -21.768, 0.448, 0.5, 0.008, -20.48)"
2017/07/09/09:37:42.039665,265029,1499564264,837631814,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05483981316690354, 0.2811019793800021, 1.0419564501711673, -0.5345923045780667, -1.0300680990650553, -0.2998932440315984, 1.3863351370514427, 1.8492138397958662, 0.04908738521233324, 1.8545827725534652, -0.948383622110157, -1.417014752809151, 0.0724805922275858, 1.215296279202219, -0.1679708962734528, -12.565987119160338)","(0.0, -0.010995574285501701, -0.007853981632501214, -0.018064157754752792, -0.4622068190726965, -0.1920298509146547, -0.01649336142825255, 0.21676989305703354, 0.007461282550876154, 0.015707963265002428, 0.0, 0.006675884387626033, -0.010995574285501701, 0.022383847652628464, -0.003141592653000486, 0.0070685834692510935, 0.0)","(0.0, 0.0, 2.536, -15.172, 0.124, -24.976, -0.076, -0.38, -0.036, 1.324, -14.324, 1.62, -21.796, 0.44, 0.54, 0.0, -20.48)"
2017/07/09/09:37:42.049592,265030,1499564264,847616761,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.054072822772960834, 0.2811019793800021, 1.0419564501711673, -0.5391942469417229, -1.0316020798529408, -0.29950974883462705, 1.3890196034302422, 1.849980830189809, 0.04908738521233324, 1.854199277356494, -0.9487671173071284, -1.4166312576121796, 0.07286408742455715, 1.2156797743991905, -0.1679708962734528, -12.565987119160338)","(0.0, -0.034950218264630406, 0.011388273367126762, -0.012959069693627005, -0.48341256948044975, -0.1900663555065294, 0.023954643979128706, 0.21087940683265763, 0.012173671530376884, -0.0047123889795007284, 0.0007853981632501215, 0.007461282550876154, -0.005890486224375911, -0.009032078877376396, -0.014922565101752308, 0.012959069693627005, 0.0)","(0.0, 0.0, 2.536, -15.08, 0.0, -24.784, -0.068, -0.352, -0.056, 1.324, -14.264, 1.588, -21.768, 0.44, 0.548, 0.008, -20.48)"
2017/07/09/09:37:42.059519,265031,1499564264,857646425,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05445631796993219, 0.28033498898605935, 1.0419564501711673, -0.5437961893053792, -1.0339030510347689, -0.29950974883462705, 1.3909370794150988, 1.848830344598895, 0.048703890015361885, 1.8545827725534652, -0.9491506125040997, -1.4173982480061222, 0.07286408742455715, 1.2164467647931332, -0.16912138186436687, -12.565987119160338)","(0.0, -0.0007853981632501215, 0.018849555918002914, -0.007853981632501214, -0.47241699519494806, -0.19949113346553085, 0.00510508806112579, 0.23287055540366103, -0.015707963265002428, 0.005497787142750851, -0.0070685834692510935, -0.02042035224450316, -0.0047123889795007284, -0.009817477040626518, 0.0027488935713754254, -0.02670353755050413, 0.0)","(0.0, 0.0, 2.536, -15.048, 0.028, -24.784, -0.092, -0.36, -0.044, 1.324, -14.264, 1.588, -21.796, 0.432, 0.492, 0.016, -20.48)"
2017/07/09/09:37:42.069635,265032,1499564264,867630404,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05445631796993219, 0.2811019793800021, 1.0419564501711673, -0.5483981316690354, -1.0354370318226542, -0.29950974883462705, 1.3928545553999556, 1.848830344598895, 0.04908738521233324, 1.8538157821595225, -0.948383622110157, -1.417014752809151, 0.0724805922275858, 1.2168302599901044, -0.16758740107648146, -12.565987119160338)","(0.0, 0.0, -0.014137166938502187, -0.02081305132612822, -0.4598506245829461, -0.18613936469027878, -0.00039269908162506076, 0.22894356458741041, -0.036128315509505585, -0.0027488935713754254, 0.0, -0.009424777959001457, 0.006675884387626033, 0.001570796326500243, 0.0011780972448751821, 0.009817477040626518, 0.0)","(0.0, 0.0, 2.44, -14.984, 0.028, -24.752, -0.084, -0.324, -0.028, 1.292, -14.232, 1.62, -21.856, 0.44, 0.5, 0.0, -20.48)"
2017/07/09/09:37:42.072299,226913,1499564264,872000000,,['l_gripper_l_finger_joint'],"(0.0019583761068433523,)","(0.0,)","(0.0,)"
2017/07/09/09:37:42.079679,265033,1499564264,877598474,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05368932757598948, 0.279951493789088, 1.0419564501711673, -0.5530000740326917, -1.0377380030044825, -0.2998932440315984, 1.3936215457938983, 1.8484468494019235, 0.048703890015361885, 1.8545827725534652, -0.948383622110157, -1.4177817432030937, 0.0724805922275858, 1.2156797743991905, -0.1672039058795101, -12.565987119160338)","(0.0, 0.01610066234662749, 0.0027488935713754254, -0.010995574285501701, -0.4771293841744488, -0.2061670178531569, -0.005497787142750851, 0.17749998489452745, -0.00510508806112579, -0.01649336142825255, -0.0070685834692510935, 0.00510508806112579, 0.007461282550876154, 0.00510508806112579, 0.008639379795751335, 0.01610066234662749, 0.0)","(0.0, 0.0, 2.572, -14.956, 0.06, -24.784, -0.092, -0.312, -0.028, 1.324, -14.264, 1.556, -21.856, 0.42, 0.452, 0.016, -20.48)"
2017/07/09/09:37:42.080147,226914,1499564264,879000064,,['r_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)"
2017/07/09/09:37:42.089872,265034,1499564264,887638017,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.054072822772960834, 0.28033498898605935, 1.0423399453681386, -0.5579855115933192, -1.0392719837923678, -0.29950974883462705, 1.395539021778755, 1.848830344598895, 0.04908738521233324, 1.854199277356494, -0.9487671173071284, -1.4173982480061222, 0.0724805922275858, 1.2156797743991905, -0.1679708962734528, -12.565987119160338)","(0.0, -0.0023561944897503642, -0.02042035224450316, 0.0, -0.5132576996839544, -0.22344577744465957, 0.0007853981632501215, 0.1610066234662749, 0.01531526418337737, -0.0070685834692510935, 0.02670353755050413, 0.013351768775252066, 0.0070685834692510935, 0.0023561944897503642, 0.010995574285501701, 0.0, 0.0)","(0.0, 0.0, 2.44, -14.956, 0.028, -24.784, -0.084, -0.312, -0.036, 1.228, -14.324, 1.62, -21.888, 0.44, 0.452, 0.028, -20.48)"
