time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.quat,.acc
2017/07/09/09:43:01.138059,5657,1499564581,137821912,0,"(-5244, -3314, 9051, 12166)","(125, 1783, 627)"
2017/07/09/09:43:01.161262,5658,1499564581,160993099,0,"(-5228, -3397, 9044, 12156)","(18, 1931, 595)"
2017/07/09/09:43:01.183421,5659,1499564581,183171987,0,"(-5212, -3482, 9045, 12138)","(9, 2012, 575)"
2017/07/09/09:43:01.198005,5660,1499564581,197891950,0,"(-5209, -3552, 9022, 12136)","(36, 2008, 620)"
2017/07/09/09:43:01.205471,5661,1499564581,205347061,0,"(-5216, -3616, 8990, 12138)","(36, 1912, 606)"
2017/07/09/09:43:01.229459,5662,1499564581,228785037,0,"(-5212, -3689, 8962, 12138)","(-7, 1871, 553)"
2017/07/09/09:43:01.245039,5663,1499564581,244740009,0,"(-5193, -3772, 8949, 12131)","(-39, 1909, 554)"
2017/07/09/09:43:01.265834,5664,1499564581,265602111,0,"(-5174, -3857, 8940, 12118)","(-59, 1948, 582)"
2017/07/09/09:43:01.288848,5665,1499564581,288666009,0,"(-5160, -3939, 8923, 12110)","(-81, 1963, 594)"
2017/07/09/09:43:01.311596,5666,1499564581,311395883,0,"(-5147, -4017, 8894, 12112)","(-91, 1928, 577)"
2017/07/09/09:43:01.325983,5667,1499564581,325721025,0,"(-5129, -4097, 8862, 12115)","(-137, 1895, 550)"
2017/07/09/09:43:01.348889,5668,1499564581,348683118,0,"(-5104, -4176, 8842, 12114)","(-147, 1903, 549)"
2017/07/09/09:43:01.371014,5669,1499564581,370948076,0,"(-5077, -4254, 8824, 12112)","(-132, 1919, 557)"
2017/07/09/09:43:01.385680,5670,1499564581,385426998,0,"(-5053, -4326, 8798, 12115)","(-149, 1923, 578)"
2017/07/09/09:43:01.408470,5671,1499564581,408370971,0,"(-5030, -4395, 8766, 12123)","(-208, 1899, 549)"
2017/07/09/09:43:01.432256,5672,1499564581,432002067,0,"(-4997, -4462, 8743, 12128)","(-231, 1855, 513)"
2017/07/09/09:43:01.445699,5673,1499564581,445353031,0,"(-4962, -4526, 8725, 12132)","(-216, 1886, 541)"
2017/07/09/09:43:01.469202,5674,1499564581,468760967,0,"(-4934, -4582, 8698, 12142)","(-217, 1894, 586)"
2017/07/09/09:43:01.491301,5675,1499564581,491106986,0,"(-4907, -4633, 8668, 12155)","(-232, 1881, 545)"
2017/07/09/09:43:01.505959,5676,1499564581,505743026,0,"(-4875, -4689, 8639, 12167)","(-258, 1908, 531)"
2017/07/09/09:43:01.528260,5677,1499564581,527992963,0,"(-4844, -4738, 8612, 12180)","(-261, 1887, 545)"
2017/07/09/09:43:01.559238,5678,1499564581,559020996,0,"(-4818, -4778, 8579, 12198)","(-280, 1848, 565)"
2017/07/09/09:43:01.565596,5679,1499564581,565368890,0,"(-4781, -4823, 8550, 12215)","(-311, 1822, 557)"
2017/07/09/09:43:01.589016,5680,1499564581,588886976,0,"(-4739, -4866, 8528, 12230)","(-310, 1856, 584)"
2017/07/09/09:43:01.611104,5681,1499564581,611006021,0,"(-4701, -4907, 8506, 12243)","(-336, 1882, 569)"
2017/07/09/09:43:01.625684,5682,1499564581,625452995,0,"(-4669, -4942, 8473, 12264)","(-365, 1894, 553)"
2017/07/09/09:43:01.648075,5683,1499564581,647910118,0,"(-4639, -4969, 8434, 12292)","(-372, 1847, 578)"
2017/07/09/09:43:01.671713,5684,1499564581,671483993,0,"(-4596, -4997, 8394, 12323)","(-396, 1816, 598)"
2017/07/09/09:43:01.685667,5685,1499564581,685389041,0,"(-4549, -5027, 8366, 12348)","(-445, 1859, 593)"
2017/07/09/09:43:01.708549,5686,1499564581,708317041,0,"(-4505, -5049, 8339, 12374)","(-427, 1907, 573)"
2017/07/09/09:43:01.731436,5687,1499564581,731205940,0,"(-4468, -5061, 8290, 12415)","(-437, 1888, 602)"
2017/07/09/09:43:01.745625,5688,1499564581,745470046,0,"(-4424, -5074, 8243, 12456)","(-460, 1825, 603)"
2017/07/09/09:43:01.768174,5689,1499564581,767925024,0,"(-4382, -5086, 8201, 12494)","(-442, 1836, 629)"
2017/07/09/09:43:01.791576,5690,1499564581,791313886,0,"(-4339, -5097, 8158, 12533)","(-495, 1896, 605)"
2017/07/09/09:43:01.805774,5691,1499564581,805538892,0,"(-4295, -5102, 8112, 12575)","(-526, 1871, 637)"
2017/07/09/09:43:01.828123,5692,1499564581,827967882,0,"(-4248, -5099, 8071, 12619)","(-479, 1823, 647)"
2017/07/09/09:43:01.851326,5693,1499564581,851032018,0,"(-4201, -5098, 8030, 12661)","(-465, 1877, 627)"
2017/07/09/09:43:01.865699,5694,1499564581,865420103,0,"(-4154, -5098, 7976, 12711)","(-491, 1851, 640)"
2017/07/09/09:43:01.896908,5695,1499564581,896135091,0,"(-4108, -5085, 7914, 12769)","(-557, 1790, 677)"
2017/07/09/09:43:01.911274,5696,1499564581,911128044,0,"(-4050, -5072, 7861, 12826)","(-517, 1747, 685)"
2017/07/09/09:43:01.925528,5697,1499564581,925355911,0,"(-3996, -5056, 7814, 12878)","(-493, 1763, 768)"
2017/07/09/09:43:01.950825,5698,1499564581,948190927,0,"(-3937, -5042, 7774, 12926)","(-516, 1760, 697)"
2017/07/09/09:43:01.971131,5699,1499564581,971061944,0,"(-3879, -5026, 7732, 12975)","(-536, 1758, 698)"
2017/07/09/09:43:01.985858,5700,1499564581,985641956,0,"(-3825, -5005, 7683, 13028)","(-546, 1739, 710)"
2017/07/09/09:43:02.007979,5701,1499564582,7816076,0,"(-3768, -4978, 7638, 13081)","(-536, 1714, 763)"
2017/07/09/09:43:02.031525,5702,1499564582,31274080,0,"(-3725, -4954, 7589, 13131)","(-456, 1737, 813)"
2017/07/09/09:43:02.046154,5703,1499564582,45872926,0,"(-3679, -4930, 7529, 13187)","(-566, 1689, 772)"
2017/07/09/09:43:02.076904,5704,1499564582,76174974,0,"(-3615, -4905, 7478, 13243)","(-624, 1611, 758)"
2017/07/09/09:43:02.091439,5705,1499564582,91264963,0,"(-3550, -4880, 7449, 13286)","(-522, 1668, 835)"
