time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.quat,.acc
2017/07/09/10:16:56.847174,13468,1499566616,847038030,0,"(-12691, -10216, 1734, 134)","(293, 2135, 376)"
2017/07/09/10:16:56.861152,13469,1499566616,860866069,0,"(-12770, -10115, 1747, 126)","(319, 1922, 516)"
2017/07/09/10:16:56.902927,13470,1499566616,902622938,0,"(-12822, -10046, 1768, 115)","(345, 1691, 345)"
2017/07/09/10:16:56.914216,13471,1499566616,913932085,0,"(-12841, -10021, 1773, 96)","(310, 1819, 412)"
2017/07/09/10:16:56.920747,13472,1499566616,920510053,0,"(-12863, -9993, 1769, 85)","(299, 2082, 543)"
2017/07/09/10:16:56.958874,13473,1499566616,958712100,0,"(-12908, -9932, 1783, 87)","(338, 1851, 453)"
2017/07/09/10:16:56.965421,13474,1499566616,965275049,0,"(-12945, -9882, 1790, 88)","(396, 1620, 456)"
2017/07/09/10:16:56.980815,13475,1499566616,980618000,0,"(-12959, -9866, 1786, 81)","(361, 1708, 495)"
2017/07/09/10:16:57.011772,13476,1499566617,11554002,0,"(-12945, -9886, 1776, 78)","(339, 1981, 540)"
2017/07/09/10:16:57.026150,13477,1499566617,25723934,0,"(-12949, -9882, 1766, 91)","(320, 1980, 485)"
2017/07/09/10:16:57.040466,13478,1499566617,40286064,0,"(-12966, -9862, 1754, 95)","(361, 1824, 518)"
2017/07/09/10:16:57.073332,13479,1499566617,72689056,0,"(-12966, -9865, 1737, 88)","(386, 1834, 533)"
2017/07/09/10:16:57.085957,13480,1499566617,85797071,0,"(-12951, -9890, 1704, 97)","(332, 1896, 528)"
2017/07/09/10:16:57.101106,13481,1499566617,100861072,0,"(-12946, -9903, 1666, 107)","(268, 1996, 518)"
2017/07/09/10:16:57.131754,13482,1499566617,131329059,0,"(-12954, -9898, 1630, 109)","(264, 1896, 501)"
2017/07/09/10:16:57.145668,13483,1499566617,145380973,0,"(-12962, -9894, 1596, 99)","(331, 1863, 517)"
2017/07/09/10:16:57.176796,13484,1499566617,176456928,0,"(-12971, -9891, 1544, 105)","(301, 1913, 560)"
2017/07/09/10:16:57.191295,13485,1499566617,191137075,0,"(-12980, -9888, 1480, 120)","(230, 1973, 553)"
2017/07/09/10:16:57.205549,13486,1499566617,205363988,0,"(-12995, -9878, 1413, 130)","(237, 2007, 540)"
2017/07/09/10:16:57.236485,13487,1499566617,236114978,0,"(-13011, -9867, 1344, 129)","(226, 1933, 514)"
2017/07/09/10:16:57.243411,13488,1499566617,243211984,0,"(-13003, -9887, 1268, 145)","(244, 1960, 515)"
2017/07/09/10:16:57.265551,13489,1499566617,265368938,0,"(-13003, -9899, 1170, 176)","(145, 2039, 584)"
2017/07/09/10:16:57.281373,13490,1499566617,281140089,0,"(-13003, -9910, 1069, 210)","(118, 2041, 531)"
2017/07/09/10:16:57.303739,13491,1499566617,303570985,0,"(-13008, -9912, 966, 242)","(153, 1965, 563)"
2017/07/09/10:16:57.343502,13492,1499566617,342979907,0,"(-13006, -9924, 847, 275)","(91, 2014, 558)"
2017/07/09/10:16:57.349065,13493,1499566617,348880052,0,"(-12997, -9946, 712, 320)","(-22, 2078, 569)"
2017/07/09/10:16:57.363113,13494,1499566617,362867116,0,"(-12996, -9955, 570, 381)","(-85, 2026, 565)"
2017/07/09/10:16:57.401565,13495,1499566617,401190996,0,"(-12990, -9967, 429, 438)","(-36, 1944, 537)"
2017/07/09/10:16:57.408990,13496,1499566617,408739089,0,"(-12966, -10001, 276, 493)","(-105, 2005, 542)"
2017/07/09/10:16:57.423748,13497,1499566617,423552036,0,"(-12947, -10026, 124, 554)","(-152, 1991, 560)"
2017/07/09/10:16:57.453871,13498,1499566617,453660011,0,"(-12939, -10033, -29, 618)","(-159, 1932, 531)"
2017/07/09/10:16:57.468743,13499,1499566617,468492984,0,"(-12924, -10045, -186, 690)","(-232, 1910, 534)"
2017/07/09/10:16:57.483554,13500,1499566617,483213901,0,"(-12891, -10078, -340, 771)","(-260, 1940, 486)"
2017/07/09/10:16:57.513631,13501,1499566617,513488054,0,"(-12863, -10100, -500, 862)","(-318, 1961, 488)"
2017/07/09/10:16:57.529335,13502,1499566617,529027938,0,"(-12843, -10110, -650, 946)","(-353, 1939, 485)"
2017/07/09/10:16:57.543485,13503,1499566617,543302059,0,"(-12825, -10113, -794, 1036)","(-430, 1906, 501)"
2017/07/09/10:16:57.565455,13504,1499566617,565291881,0,"(-12810, -10111, -926, 1127)","(-427, 1877, 474)"
2017/07/09/10:16:57.588455,13505,1499566617,588162899,0,"(-12789, -10115, -1051, 1221)","(-452, 1908, 466)"
2017/07/09/10:16:57.619128,13506,1499566617,618901014,0,"(-12759, -10127, -1171, 1320)","(-513, 1916, 407)"
2017/07/09/10:16:57.625629,13507,1499566617,625473022,0,"(-12740, -10124, -1277, 1423)","(-492, 1881, 479)"
2017/07/09/10:16:57.648278,13508,1499566617,648056983,0,"(-12724, -10119, -1371, 1516)","(-459, 1778, 501)"
2017/07/09/10:16:57.678710,13509,1499566617,678555965,0,"(-12703, -10117, -1462, 1610)","(-549, 1794, 478)"
2017/07/09/10:16:57.694881,13510,1499566617,693926095,0,"(-12686, -10108, -1555, 1714)","(-619, 1971, 415)"
2017/07/09/10:16:57.708352,13511,1499566617,708220958,0,"(-12687, -10075, -1643, 1815)","(-621, 1829, 463)"
2017/07/09/10:16:57.732635,13512,1499566617,732462882,0,"(-12693, -10035, -1725, 1917)","(-603, 1727, 463)"
2017/07/09/10:16:57.745966,13513,1499566617,745776891,0,"(-12688, -10006, -1807, 2020)","(-641, 1743, 504)"
