time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2017/07/09/10:17:49.022438,505728,1499566671,826936840,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05368932757598948, 0.3739078170470696, 1.2609322076418101, -0.8440729285339489, -0.9679418771556961, -0.20747090156150222, 1.1930535577778805, 1.6639856596587026, 0.04908738521233324, 1.8545827725534652, -0.948383622110157, -1.417014752809151, 0.07286408742455715, 1.2168302599901044, -0.16912138186436687, -12.565987119160338)","(0.0, 0.00039269908162506076, -0.015707963265002428, 0.0070685834692510935, -0.11545352999776785, 0.019242254999627974, -0.07343472826388636, 0.003926990816250607, 0.10681415020201653, 0.0023561944897503642, -0.0027488935713754254, -0.005497787142750851, 0.01021017612225158, 0.003926990816250607, -0.003141592653000486, 0.011780972448751823, 0.0)","(0.0, 0.0, 4.468, -14.984, 0.56, -24.332, 0.04, -0.312, 0.044, 1.356, -14.352, 1.556, -21.976, 0.42, 0.472, -0.044, -20.48)"
2017/07/09/10:17:49.032449,505729,1499566671,836933674,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.054072822772960834, 0.37429131224404094, 1.2613157028387814, -0.8456069093218344, -0.9675583819587247, -0.20823789195544493, 1.1926700625809092, 1.668587602022359, 0.04832039481839053, 1.8549662677504366, -0.9480001269131857, -1.418165238400065, 0.0724805922275858, 1.2156797743991905, -0.16682041068253875, -12.565987119160338)","(0.0, -0.0019634954081253035, -0.012566370612001944, -0.01021017612225158, -0.12095131714051871, 0.014529866020127248, -0.062439153978384655, 0.019242254999627974, 0.2576105975460398, -0.011780972448751823, 0.019242254999627974, 0.007853981632501214, -0.0019634954081253035, -0.014922565101752308, 0.0007853981632501215, 0.012959069693627005, 0.0)","(0.0, 0.0, 4.5, -15.016, 0.62, -24.3, 0.04, -0.36, 0.056, 1.324, -14.384, 1.62, -21.948, 0.396, 0.48, -0.036, -20.48)"
2017/07/09/10:17:49.042702,505730,1499566671,846936782,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05368932757598948, 0.37352432185009826, 1.2613157028387814, -0.846373899715777, -0.9679418771556961, -0.20900488234938763, 1.1930535577778805, 1.6751070203708718, 0.048703890015361885, 1.854199277356494, -0.948383622110157, -1.4177817432030937, 0.0732475826215285, 1.2160632695961617, -0.16758740107648146, -12.565987119160338)","(0.0, 0.001570796326500243, -0.024347343060753767, 0.01688606050987761, -0.12134401622214377, 0.03063052836675474, -0.08757189520238855, 0.02120575040775328, 0.5002986299903274, 0.006283185306000972, 0.003141592653000486, 0.012566370612001944, -0.02591813938725401, 0.00039269908162506076, -0.006283185306000972, -0.022776546734253524, 0.0)","(0.0, 0.0, 4.564, -15.08, 0.592, -24.396, 0.06, -0.4, -0.084, 1.26, -14.384, 1.652, -21.948, 0.388, 0.5, -0.016, -20.48)"
2017/07/09/10:17:49.052568,505731,1499566671,856938362,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05368932757598948, 0.37352432185009826, 1.2609322076418101, -0.8482913757006338, -0.9671748867617533, -0.21015536794030168, 1.1930535577778805, 1.6751070203708718, 0.04908738521233324, 1.854199277356494, -0.948383622110157, -1.418165238400065, 0.0724805922275858, 1.2156797743991905, -0.16758740107648146, -12.565987119160338)","(0.0, 0.0070685834692510935, -0.03534291734625546, 0.011780972448751823, -0.1288052987730199, 0.011388273367126762, -0.10877764561014182, 0.014922565101752308, 0.4260785035631909, 0.009032078877376396, -0.012959069693627005, -0.02513274122400389, -0.0070685834692510935, -0.0023561944897503642, 0.00510508806112579, -0.0023561944897503642, 0.0)","(0.0, 0.0, 4.692, -15.08, 0.528, -24.524, 0.076, -0.352, -0.084, 1.356, -14.384, 1.652, -21.888, 0.396, 0.46, -0.028, -20.48)"
2017/07/09/10:17:49.053398,500430,1499566671,860000000,,['r_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)"
2017/07/09/10:17:49.059486,500431,1499566671,864999936,,['l_gripper_l_finger_joint'],"(0.019895320258140566,)","(0.0,)","(0.0,)"
2017/07/09/10:17:49.062588,505732,1499566671,866939531,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.054072822772960834, 0.37314082665312687, 1.2609322076418101, -0.8494418612915479, -0.9671748867617533, -0.21130585353121575, 1.1926700625809092, 1.6751070203708718, 0.04947088040930459, 1.8553497629474078, -0.9487671173071284, -1.417014752809151, 0.0732475826215285, 1.2168302599901044, -0.1672039058795101, -12.565987119160338)","(0.0, 0.00510508806112579, -0.039662607244131134, -0.0027488935713754254, -0.14961835009914815, 0.022383847652628464, -0.10681415020201653, -0.005497787142750851, 0.14765485469102282, 0.008639379795751335, 0.011388273367126762, 0.001570796326500243, 0.010995574285501701, 0.01531526418337737, 0.013351768775252066, 0.02591813938725401, 0.0)","(0.0, 0.0, 4.692, -15.016, 0.464, -24.72, 0.068, -0.344, -0.072, 1.388, -14.412, 1.712, -21.888, 0.404, 0.472, -0.016, -20.48)"
2017/07/09/10:17:49.072428,505733,1499566671,876907052,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05368932757598948, 0.37314082665312687, 1.2605487124448387, -0.8513593372764047, -0.966791391564782, -0.21283983431910117, 1.1930535577778805, 1.674340029976929, 0.048703890015361885, 1.8553497629474078, -0.948383622110157, -1.417014752809151, 0.07209709703061444, 1.2160632695961617, -0.16912138186436687, -12.565987119160338)","(0.0, -0.0011780972448751821, -0.019242254999627974, 0.006675884387626033, -0.17592918856802722, 0.02552544030562895, -0.10445795571226615, -0.009032078877376396, -0.014137166938502187, 0.005890486224375911, 0.031415926530004856, 0.0019634954081253035, 0.023561944897503646, 0.00510508806112579, 0.006283185306000972, 0.019242254999627974, 0.0)","(0.0, 0.0, 4.532, -15.016, 0.152, -24.752, 0.04, -0.344, -0.072, 1.324, -14.384, 1.62, -21.948, 0.412, 0.46, -0.044, -20.48)"
2017/07/09/10:17:49.082355,505734,1499566671,886935658,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05445631796993219, 0.37352432185009826, 1.2616991980357528, -0.8536603084582327, -0.9664078963678107, -0.21399031991001521, 1.193437052974852, 1.6747235251739006, 0.04908738521233324, 1.8545827725534652, -0.9480001269131857, -1.4173982480061222, 0.0724805922275858, 1.2160632695961617, -0.16835439147042416, -12.565987119160338)","(0.0, 0.0023561944897503642, -0.01531526418337737, -0.012566370612001944, -0.19242254999627975, 0.03220132469325498, -0.10524335387551628, 0.0011780972448751821, -0.03259402377488004, -0.005497787142750851, -0.008246680714126275, -0.0023561944897503642, -0.0047123889795007284, -0.0019634954081253035, -0.003141592653000486, -0.023169245815878585, 0.0)","(0.0, 0.0, 4.564, -14.984, 0.092, -24.912, 0.076, -0.344, -0.072, 1.388, -14.384, 1.588, -21.976, 0.42, 0.472, -0.036, -20.48)"
2017/07/09/10:17:49.092363,505735,1499566671,896935775,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.054072822772960834, 0.3723738362591842, 1.2609322076418101, -0.8551942892461182, -0.9660244011708393, -0.21475731030395792, 1.1926700625809092, 1.6751070203708718, 0.04793689962141918, 1.8549662677504366, -0.948383622110157, -1.4177817432030937, 0.07209709703061444, 1.2160632695961617, -0.1672039058795101, -12.565987119160338)","(0.0, 0.0007853981632501215, 0.00039269908162506076, -0.018064157754752792, -0.20970130958778244, 0.029059732040254495, -0.11388273367126761, -0.013351768775252066, 0.003926990816250607, -0.0011780972448751821, -0.010995574285501701, 0.01610066234662749, -0.014922565101752308, 0.007461282550876154, 0.022776546734253524, -0.02081305132612822, 0.0)","(0.0, 0.0, 4.404, -14.984, 0.308, -24.912, 0.104, -0.352, -0.084, 1.292, -14.412, 1.588, -21.888, 0.42, 0.46, -0.016, -20.48)"
2017/07/09/10:17:49.102508,505736,1499566671,906934051,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.054072822772960834, 0.37314082665312687, 1.2616991980357528, -0.8571117652309749, -0.9660244011708393, -0.21475731030395792, 1.1922865673839378, 1.6747235251739006, 0.048703890015361885, 1.8545827725534652, -0.948383622110157, -1.4177817432030937, 0.07286408742455715, 1.2156797743991905, -0.1672039058795101, -12.565987119160338)","(0.0, -0.007461282550876154, -0.007461282550876154, 0.01727875959150267, -0.19674223989415543, 0.018849555918002914, -0.10563605295714133, -0.006283185306000972, 0.018849555918002914, -0.003926990816250607, 0.024347343060753767, 0.0007853981632501215, 0.003141592653000486, -0.0027488935713754254, -0.012959069693627005, -0.0011780972448751821, 0.0)","(0.0, 0.0, 4.436, -15.048, 0.436, -24.88, 0.128, -0.36, -0.084, 1.388, -14.412, 1.62, -21.888, 0.396, 0.472, -0.044, -20.48)"
2017/07/09/10:17:49.104559,500432,1499566671,911000064,,['r_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)"
2017/07/09/10:17:49.110226,500433,1499566671,916000000,,['l_gripper_l_finger_joint'],"(0.019895320258140566,)","(0.0,)","(0.0,)"
