time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.ch0,.ch1,.ch2,.ch3,.ch4,.ch5,.ch6,.ch7
2017/07/09/10:20:44.553509,212388,1499566844,553349018,0,157,356,245,108,77,203,80,217
2017/07/09/10:20:44.570214,212389,1499566844,570030927,0,216,339,186,71,58,153,76,228
2017/07/09/10:20:44.591095,212390,1499566844,590883970,0,268,359,201,65,73,150,77,198
2017/07/09/10:20:44.614097,212391,1499566844,613818883,0,269,442,258,88,78,142,71,192
2017/07/09/10:20:44.630596,212392,1499566844,630222082,0,293,519,296,106,78,139,73,184
2017/07/09/10:20:44.651468,212393,1499566844,651268005,0,381,521,307,117,93,154,80,181
2017/07/09/10:20:44.674300,212394,1499566844,673484086,0,376,521,306,120,102,148,80,128
2017/07/09/10:20:44.690031,212395,1499566844,689932107,0,343,535,345,133,102,127,79,139
2017/07/09/10:20:44.711747,212396,1499566844,711472034,0,447,524,332,123,108,124,81,145
2017/07/09/10:20:44.734126,212397,1499566844,733905076,0,463,445,305,121,113,129,86,166
2017/07/09/10:20:44.756150,212398,1499566844,755881071,0,477,449,305,118,111,125,100,206
2017/07/09/10:20:44.771295,212399,1499566844,771063089,0,488,445,315,118,108,127,106,228
2017/07/09/10:20:44.793540,212400,1499566844,793411016,0,486,473,293,98,99,122,97,221
2017/07/09/10:20:44.816118,212401,1499566844,815857887,0,429,483,289,105,99,124,96,225
2017/07/09/10:20:44.830932,212402,1499566844,830791950,0,480,499,276,92,94,118,96,234
2017/07/09/10:20:44.854095,212403,1499566844,853615045,0,478,509,277,85,89,86,80,234
2017/07/09/10:20:44.876593,212404,1499566844,876328945,0,481,522,287,86,81,75,69,219
2017/07/09/10:20:44.891204,212405,1499566844,890896081,0,500,546,276,90,80,66,69,228
2017/07/09/10:20:44.913525,212406,1499566844,913362979,0,485,482,241,78,72,71,67,228
2017/07/09/10:20:44.936264,212407,1499566844,935908079,0,462,517,254,84,78,71,62,214
2017/07/09/10:20:44.951813,212408,1499566844,951472043,0,442,537,261,99,84,69,60,193
2017/07/09/10:20:44.973793,212409,1499566844,973573923,0,440,542,248,100,93,72,59,193
2017/07/09/10:20:44.996493,212410,1499566844,996231079,0,473,472,239,102,97,75,62,185
2017/07/09/10:20:45.011433,212411,1499566845,11204957,0,477,481,253,109,100,63,62,177
