time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2017/05/27/11:51:32.581032,413686,1495857094,152999936,,['l_gripper_l_finger_joint'],"(0.019935240289568903,)","(0.0,)","(0.0,)"
2017/05/27/11:51:32.581229,413687,1495857094,152999936,,['r_gripper_l_finger_joint'],"(0.02004972373366356,)","(0.0,)","(0.0,)"
2017/05/27/11:51:32.586348,661405,1495857094,156916293,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05292233718204677, 0.004985437560627594, 0.7451311677153397, 0.005368932757598948, -0.5549175500175484, 0.0019174759848567672, 1.2636166740206096, -0.0003834951969713534, 0.16106798272796843, 1.2647671596115235, 0.8989127417008524, -0.9767622666860372, -0.06289321230330196, 1.2950632801722606, 0.06212622190935926, -12.565987119160338)","(0.0, 0.00039269908162506076, 0.0019634954081253035, 0.00510508806112579, 0.00510508806112579, -0.005497787142750851, -0.008639379795751335, 0.0035342917346255468, -0.011388273367126762, 0.004319689897875668, -0.001570796326500243, -0.03887720908088101, -0.009817477040626518, -0.0007853981632501215, 0.04241150081550656, -0.011780972448751823, 0.0)","(0.0, 0.0, -0.128, -14.892, 0.06, -23.3, 0.128, -0.156, 0.016, 2.872, -15.764, 1.184, -28.54, 0.204, 0.056, -0.072, -20.48)"
2017/05/27/11:51:32.595998,661406,1495857094,166914511,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05253884198507542, 0.004985437560627594, 0.7447476725183684, 0.004985437560627594, -0.5549175500175484, 0.002684466378799474, 1.2647671596115235, -0.0003834951969713534, 0.1614514779249398, 1.2643836644145523, 0.8989127417008524, -0.9767622666860372, -0.06366020269724466, 1.2954467753692318, 0.06212622190935926, -12.565987119160338)","(0.0, -0.003141592653000486, -0.023954643979128706, -0.0027488935713754254, -0.02042035224450316, -0.012959069693627005, -0.012566370612001944, 0.01649336142825255, -0.0007853981632501215, 0.008639379795751335, -0.01021017612225158, -0.03220132469325498, 0.0, 0.00510508806112579, 0.04241150081550656, 0.0035342917346255468, 0.0)","(0.0, 0.0, -0.192, -14.956, 0.0, -23.332, 0.136, -0.156, 0.028, 2.68, -15.764, 1.34, -28.54, 0.196, 0.036, -0.072, -20.48)"
2017/05/27/11:51:32.606213,661407,1495857094,176950057,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05330583237901813, 0.004985437560627594, 0.744364177321397, 0.005368932757598948, -0.554534054820577, 0.0023009711818281204, 1.2643836644145523, -0.0003834951969713534, 0.1614514779249398, 1.2640001692175808, 0.8989127417008524, -0.9767622666860372, -0.0625097171063306, 1.2958302705662033, 0.0617427267123879, -12.565987119160338)","(0.0, 0.007853981632501214, -0.0035342917346255468, 0.0007853981632501215, 0.0027488935713754254, -0.008246680714126275, -0.008639379795751335, 0.02670353755050413, 0.019634954081253035, 0.00510508806112579, 0.019634954081253035, -0.028274333877004374, 0.006675884387626033, 0.012959069693627005, 0.027881634795379313, -0.003141592653000486, 0.0)","(0.0, 0.0, -0.32, -14.956, 0.092, -23.364, 0.12, -0.184, 0.0, 2.808, -15.764, 1.184, -28.452, 0.204, 0.056, -0.064, -20.48)"
2017/05/27/11:51:32.615988,661408,1495857094,186933435,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05330583237901813, 0.004601942363656241, 0.744364177321397, 0.005368932757598948, -0.5549175500175484, 0.0015339807878854137, 1.2643836644145523, -0.0007669903939427069, 0.1614514779249398, 1.2643836644145523, 0.8973787609129671, -0.9767622666860372, -0.0625097171063306, 1.296597260960146, 0.06135923151541655, -12.565987119160338)","(0.0, 0.003141592653000486, 0.007461282550876154, -0.001570796326500243, 0.0027488935713754254, -0.003141592653000486, 0.012566370612001944, -0.0011780972448751821, -0.012566370612001944, -0.0023561944897503642, 0.015707963265002428, -0.045945792550132106, -0.012566370612001944, -0.03573561642788053, 0.02513274122400389, -0.003926990816250607, 0.0)","(0.0, 0.0, -0.224, -14.984, 0.028, -23.332, 0.12, -0.184, 0.028, 2.936, -15.824, 1.34, -28.452, 0.204, 0.056, -0.084, -20.48)"
2017/05/27/11:51:32.626159,661409,1495857094,196918077,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05253884198507542, 0.004601942363656241, 0.744364177321397, 0.005752427954570301, -0.5553010452145197, 0.0023009711818281204, 1.2640001692175808, 0.0, 0.16183497312191114, 1.2640001692175808, 0.8973787609129671, -0.9763787714890658, -0.06327670750027331, 1.296597260960146, 0.0617427267123879, -12.565987119160338)","(0.0, -0.01060287520387664, -0.001570796326500243, -0.01060287520387664, 0.01060287520387664, 0.003926990816250607, -0.0023561944897503642, -0.004319689897875668, -0.0023561944897503642, -0.02120575040775328, 0.01727875959150267, -0.045160394386881984, 0.0011780972448751821, 0.0011780972448751821, 0.01610066234662749, 0.007853981632501214, 0.0)","(0.0, 0.0, -0.224, -14.956, 0.0, -23.332, 0.144, -0.176, 0.0, 2.776, -15.792, 1.212, -28.452, 0.188, 0.056, -0.072, -20.48)"
2017/05/27/11:51:32.631989,413688,1495857094,204000000,,['l_gripper_l_finger_joint'],"(0.019935240289568903,)","(0.0,)","(0.0,)"
2017/05/27/11:51:32.632194,413689,1495857094,204999936,,['r_gripper_l_finger_joint'],"(0.02004972373366356,)","(0.0,)","(0.0,)"
2017/05/27/11:51:32.636069,661410,1495857094,206956900,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05292233718204677, 0.004601942363656241, 0.744364177321397, 0.004985437560627594, -0.5549175500175484, 0.0023009711818281204, 1.2643836644145523, -0.0003834951969713534, 0.1614514779249398, 1.265150654808495, 0.8969952657159956, -0.9767622666860372, -0.06327670750027331, 1.2962137657631747, 0.0617427267123879, -12.565987119160338)","(0.0, 0.0019634954081253035, 0.0011780972448751821, 0.004319689897875668, -0.0019634954081253035, -0.001570796326500243, -0.011388273367126762, -0.014922565101752308, 0.0007853981632501215, 0.01688606050987761, -0.01021017612225158, -0.03063052836675474, -0.01767145867312773, 0.01610066234662749, 0.02513274122400389, 0.0070685834692510935, 0.0)","(0.0, 0.0, -0.256, -14.924, 0.06, -23.3, 0.136, -0.144, 0.028, 2.872, -15.852, 1.276, -28.42, 0.172, 0.068, -0.072, -20.48)"
