time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2017/05/27/11:53:09.955097,671142,1495857191,526975442,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05292233718204677, 0.004985437560627594, 0.744364177321397, 0.004985437560627594, -0.554534054820577, 0.0023009711818281204, 1.2643836644145523, -0.0003834951969713534, 0.15953400194008302, 1.2659176452024377, 0.9015972080796519, -0.9763787714890658, -0.06135923151541655, 1.2908448330055757, 0.0617427267123879, -12.565987119160338)","(0.0, 0.003141592653000486, 0.0011780972448751821, -0.005890486224375911, -0.0007853981632501215, 0.0011780972448751821, 0.0027488935713754254, 0.005497787142750851, 0.01688606050987761, -0.001570796326500243, 0.007853981632501214, 0.0019634954081253035, -0.014922565101752308, 0.006283185306000972, 0.005497787142750851, 0.003141592653000486, 0.0)","(0.0, 0.0, -0.192, -14.86, 0.34, -23.364, 0.144, -0.136, 0.008, 2.68, -15.704, 1.184, -28.152, 0.116, 0.144, -0.092, -20.48)"
2017/05/27/11:53:09.964847,671143,1495857191,536974387,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05253884198507542, 0.004601942363656241, 0.7451311677153397, 0.005368932757598948, -0.554534054820577, 0.0019174759848567672, 1.2640001692175808, -0.0003834951969713534, 0.1599174971370544, 1.265150654808495, 0.9023641984735946, -0.9752282858981518, -0.06135923151541655, 1.291228328202547, 0.0617427267123879, -12.565987119160338)","(0.0, -0.008246680714126275, 0.0047123889795007284, -0.012566370612001944, 0.0, -0.003141592653000486, -0.0035342917346255468, -0.012566370612001944, -0.007461282550876154, 0.011780972448751823, -0.004319689897875668, -0.0070685834692510935, 0.0011780972448751821, -0.010995574285501701, -0.012566370612001944, 0.003141592653000486, 0.0)","(0.0, 0.0, -0.32, -14.892, 0.34, -23.428, 0.12, -0.108, 0.016, 2.776, -15.732, 1.152, -28.184, 0.096, 0.156, -0.056, -20.48)"
2017/05/27/11:53:09.974975,671144,1495857191,546984858,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.052155346788104066, 0.005368932757598948, 0.744364177321397, 0.005368932757598948, -0.5553010452145197, 0.002684466378799474, 1.2640001692175808, -0.0003834951969713534, 0.15953400194008302, 1.265150654808495, 0.902747693670566, -0.9756117810951231, -0.06135923151541655, 1.291228328202547, 0.06212622190935926, -12.565987119160338)","(0.0, 0.0047123889795007284, 0.006283185306000972, 0.008246680714126275, -0.009424777959001457, -0.021991148571003403, 0.007853981632501214, -0.0007853981632501215, -0.006675884387626033, -0.006283185306000972, -0.008639379795751335, 0.003141592653000486, 0.00510508806112579, 0.0027488935713754254, 0.0007853981632501215, 0.010995574285501701, 0.0)","(0.0, 0.0, -0.288, -14.924, 0.404, -23.428, 0.128, -0.116, 0.008, 2.712, -15.732, 1.12, -28.212, 0.108, 0.144, -0.064, -20.48)"
2017/05/27/11:53:09.985182,671145,1495857191,556997903,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05292233718204677, 0.004985437560627594, 0.7435971869274544, 0.005368932757598948, -0.5549175500175484, 0.0019174759848567672, 1.2643836644145523, -0.0003834951969713534, 0.16030099233402573, 1.2643836644145523, 0.902747693670566, -0.9759952762920945, -0.0625097171063306, 1.2908448330055757, 0.0625097171063306, -12.565987119160338)","(0.0, -0.011780972448751823, -0.007853981632501214, -0.008639379795751335, 0.0007853981632501215, -0.01021017612225158, -0.003926990816250607, 0.006283185306000972, -0.010995574285501701, -0.00510508806112579, -0.02670353755050413, -0.00039269908162506076, -0.0027488935713754254, 0.004319689897875668, 0.006283185306000972, -0.003926990816250607, 0.0)","(0.0, 0.0, -0.128, -14.86, 0.308, -23.364, 0.128, -0.156, 0.016, 2.776, -15.732, 1.152, -28.152, 0.088, 0.144, -0.072, -20.48)"
2017/05/27/11:53:09.995122,671146,1495857191,566946243,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05330583237901813, 0.004985437560627594, 0.7451311677153397, 0.005368932757598948, -0.5549175500175484, 0.0023009711818281204, 1.2643836644145523, -0.0003834951969713534, 0.1599174971370544, 1.2647671596115235, 0.9019807032766233, -0.9756117810951231, -0.0617427267123879, 1.2908448330055757, 0.06212622190935926, -12.565987119160338)","(0.0, 0.0011780972448751821, -0.01021017612225158, -0.00039269908162506076, -0.004319689897875668, 0.00510508806112579, -0.005890486224375911, -0.010995574285501701, 0.0007853981632501215, 0.009424777959001457, 0.0019634954081253035, 0.0035342917346255468, -0.003926990816250607, -0.004319689897875668, 0.005497787142750851, -0.0035342917346255468, 0.0)","(0.0, 0.0, -0.288, -14.86, 0.404, -23.396, 0.12, -0.116, 0.016, 2.776, -15.732, 1.184, -28.124, 0.116, 0.136, -0.056, -20.48)"
2017/05/27/11:53:10.004930,671147,1495857191,576961483,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05253884198507542, 0.004601942363656241, 0.7435971869274544, 0.004985437560627594, -0.5541505596236057, 0.0023009711818281204, 1.2643836644145523, -0.0007669903939427069, 0.1599174971370544, 1.2643836644145523, 0.9019807032766233, -0.9756117810951231, -0.06212622190935926, 1.2908448330055757, 0.0617427267123879, -12.565987119160338)","(0.0, 0.00039269908162506076, 0.013744467856877126, 0.005497787142750851, 0.01688606050987761, -0.005497787142750851, 0.00510508806112579, -0.009032078877376396, 0.006283185306000972, -0.0035342917346255468, 0.008246680714126275, -0.006675884387626033, -0.01021017612225158, -0.011780972448751823, -0.0011780972448751821, -0.009032078877376396, 0.0)","(0.0, 0.0, -0.16, -14.828, 0.436, -23.428, 0.136, -0.136, 0.008, 2.776, -15.732, 1.184, -28.184, 0.096, 0.156, -0.064, -20.48)"
2017/05/27/11:53:10.014873,671148,1495857191,586998696,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05253884198507542, 0.004985437560627594, 0.7451311677153397, 0.005752427954570301, -0.5553010452145197, 0.0023009711818281204, 1.2643836644145523, -0.0011504855909140602, 0.15953400194008302, 1.2647671596115235, 0.9019807032766233, -0.9756117810951231, -0.0617427267123879, 1.2908448330055757, 0.0617427267123879, -12.565987119160338)","(0.0, 0.004319689897875668, 0.0, 0.001570796326500243, -0.02042035224450316, 0.003926990816250607, -0.014529866020127248, 0.012173671530376884, -0.006283185306000972, 0.001570796326500243, 0.013351768775252066, -0.015707963265002428, -0.0027488935713754254, -0.01649336142825255, 0.0027488935713754254, -0.006675884387626033, 0.0)","(0.0, 0.0, -0.256, -14.924, 0.248, -23.364, 0.156, -0.136, 0.028, 2.84, -15.732, 1.212, -28.096, 0.108, 0.136, -0.092, -20.48)"
2017/05/27/11:53:10.025041,671149,1495857191,596971462,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05253884198507542, 0.004601942363656241, 0.744364177321397, 0.005368932757598948, -0.5553010452145197, 0.0023009711818281204, 1.2640001692175808, -0.0003834951969713534, 0.15915050674311168, 1.2655341500054664, 0.9015972080796519, -0.9756117810951231, -0.06135923151541655, 1.2904613378086043, 0.0617427267123879, -12.565987119160338)","(0.0, -0.003141592653000486, -0.003926990816250607, -0.00510508806112579, -0.005497787142750851, -0.0047123889795007284, -0.014529866020127248, -0.006675884387626033, -0.01727875959150267, -0.005497787142750851, -0.009817477040626518, -0.00510508806112579, 0.021598449489378342, -0.0011780972448751821, -0.007461282550876154, 0.007461282550876154, 0.0)","(0.0, 0.0, -0.384, -14.924, 0.404, -23.332, 0.112, -0.116, 0.016, 2.808, -15.732, 1.152, -28.212, 0.088, 0.136, -0.064, -20.48)"
2017/05/27/11:53:10.035189,671150,1495857191,607002955,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05330583237901813, 0.004218447166684887, 0.7447476725183684, 0.005752427954570301, -0.5553010452145197, 0.0023009711818281204, 1.2643836644145523, -0.0007669903939427069, 0.16030099233402573, 1.2655341500054664, 0.9019807032766233, -0.9759952762920945, -0.06212622190935926, 1.291228328202547, 0.06135923151541655, -12.565987119160338)","(0.0, 0.003141592653000486, 0.003141592653000486, 0.011780972448751823, -0.005890486224375911, 0.0011780972448751821, 0.008639379795751335, -0.00039269908162506076, 0.007853981632501214, -0.01021017612225158, 0.011388273367126762, 0.023954643979128706, 0.01021017612225158, 0.022383847652628464, -0.0047123889795007284, -0.0070685834692510935, 0.0)","(0.0, 0.0, -0.16, -14.86, 0.436, -23.332, 0.136, -0.136, 0.008, 2.84, -15.792, 1.152, -28.152, 0.096, 0.156, -0.056, -20.48)"
2017/05/27/11:53:10.045229,671151,1495857191,616948611,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05253884198507542, 0.004601942363656241, 0.744364177321397, 0.005368932757598948, -0.5549175500175484, 0.0015339807878854137, 1.2647671596115235, -0.0003834951969713534, 0.16030099233402573, 1.265150654808495, 0.9023641984735946, -0.9756117810951231, -0.06135923151541655, 1.2908448330055757, 0.0617427267123879, -12.565987119160338)","(0.0, -0.013744467856877126, 0.01021017612225158, -0.0027488935713754254, -0.001570796326500243, 0.018456856836377853, 0.0027488935713754254, -0.003926990816250607, -0.007461282550876154, 0.0027488935713754254, 0.02120575040775328, 0.02042035224450316, -0.009817477040626518, 0.008639379795751335, 0.007853981632501214, 0.007853981632501214, 0.0)","(0.0, 0.0, -0.288, -14.828, 0.372, -23.364, 0.128, -0.136, 0.016, 2.808, -15.792, 1.088, -28.212, 0.096, 0.124, -0.092, -20.48)"
